Date,"Apple Inc."
2015-07-01,11551
2015-07-02,12192
2015-07-03,10946
2015-07-04,9718
2015-07-05,10826
2015-07-06,11711
2015-07-07,13505
2015-07-08,14554
2015-07-09,13725
2015-07-10,12394
2015-07-11,10612
2015-07-12,11718
2015-07-13,12479
2015-07-14,11447
2015-07-15,10436
2015-07-16,10174
2015-07-17,9553
2015-07-18,8380
2015-07-19,9053
2015-07-20,11562
2015-07-21,12601
2015-07-22,14158
2015-07-23,11720
2015-07-24,10423
2015-07-25,8847
2015-07-26,10143
2015-07-27,10768
2015-07-28,10424
2015-07-29,17946
2015-07-30,10358
2015-07-31,9702
2015-08-01,8582
2015-08-02,8606
2015-08-03,9117
2015-08-04,10643
2015-08-05,10773
2015-08-06,10605
2015-08-07,9945
2015-08-08,8471
2015-08-09,9310
2015-08-10,11423
2015-08-11,13982
2015-08-12,12397
2015-08-13,11585
2015-08-14,10346
2015-08-15,9086
2015-08-16,10693
2015-08-17,11900
2015-08-18,11848
2015-08-19,11008
2015-08-20,11425
2015-08-21,10455
2015-08-22,8969
2015-08-23,9896
2015-08-24,11587
2015-08-25,12128
2015-08-26,12134
2015-08-27,11308
2015-08-28,10691
2015-08-29,8632
2015-08-30,10543
2015-08-31,12582
2015-09-01,12795
2015-09-02,13353
2015-09-03,12346
2015-09-04,11848
2015-09-05,10306
2015-09-06,11500
2015-09-07,14062
2015-09-08,15472
2015-09-09,23642
2015-09-10,23704
2015-09-11,18075
2015-09-12,17900
2015-09-13,15357
2015-09-14,17669
2015-09-15,17392
2015-09-16,17715
2015-09-17,16648
2015-09-18,14835
2015-09-19,11371
2015-09-20,13078
2015-09-21,16350
2015-09-22,16818
2015-09-23,14855
2015-09-24,14405
2015-09-25,14366
2015-09-26,12168
2015-09-27,14647
2015-09-28,17979
2015-09-29,16933
2015-09-30,15986
2015-10-01,14811
2015-10-02,13771
2015-10-03,11941
2015-10-04,12754
2015-10-05,17060
2015-10-06,16811
2015-10-07,16383
2015-10-08,15736
2015-10-09,14509
2015-10-10,15472
2015-10-11,12589
2015-10-12,16101
2015-10-13,16195
2015-10-14,14917
2015-10-15,15252
2015-10-16,14043
2015-10-17,12207
2015-10-18,12730
2015-10-19,20719
2015-10-20,15293
2015-10-21,14257
2015-10-22,14495
2015-10-23,14231
2015-10-24,11895
2015-10-25,13234
2015-10-26,14500
2015-10-27,15096
2015-10-28,17414
2015-10-29,14978
2015-10-30,13012
2015-10-31,10711
2015-11-01,13285
2015-11-02,15014
2015-11-03,14990
2015-11-04,14564
2015-11-05,14733
2015-11-06,13711
2015-11-07,11269
2015-11-08,11790
2015-11-09,13874
2015-11-10,13925
2015-11-11,13929
2015-11-12,14040
2015-11-13,12420
2015-11-14,10369
2015-11-15,12087
2015-11-16,13661
2015-11-17,14263
2015-11-18,13797
2015-11-19,13947
2015-11-20,12219
2015-11-21,10298
2015-11-22,11362
2015-11-23,13641
2015-11-24,12629
2015-11-25,11684
2015-11-26,11219
2015-11-27,10072
2015-11-28,9465
2015-11-29,11622
2015-11-30,13725
2015-12-01,14012
2015-12-02,14700
2015-12-03,14169
2015-12-04,15372
2015-12-05,10236
2015-12-06,11639
2015-12-07,13315
2015-12-08,14026
2015-12-09,13735
2015-12-10,13305
2015-12-11,12241
2015-12-12,10031
2015-12-13,10960
2015-12-14,12766
2015-12-15,12165
2015-12-16,11669
2015-12-17,11992
2015-12-18,10659
2015-12-19,9003
2015-12-20,9231
2015-12-21,14935
2015-12-22,11425
